"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Country","Action"
"HUBB","Hubbell Inc","Common stocks","Large cap","Industrials","$13,415,716,084","1.67%","USA","Analyze"
"CHK","Chesapeake Energy Corporation","Common stocks","Large cap","Energy","$13,381,037,064","7.35%","USA","Analyze"
"JKHY","Jack Henry & Associates, Inc.","Common stocks","Large cap","Information Technology","$13,357,041,182","1.05%","USA","Analyze"
"EVRG","Evergy Inc","Common stocks","Large cap","Utilities","$13,356,722,243","3.95%","USA","Analyze"
"TYL","Tyler Technologies Inc","Common stocks","Large cap","Information Technology","$13,347,669,304","0.00%","USA","Analyze"
"L","Loews Corp","Common stocks","Large cap","Financials","$13,303,037,724","0.45%","USA","Analyze"
"WLK","Westlake Chemical Corp","Common stocks","Large cap","Materials","$13,295,787,607","1.19%","USA","Analyze"
"VTRS","Viatris Inc.","Common stocks","Large cap","Health Care","$13,291,023,194","4.22%","USA","Analyze"
"ZBRA","Zebra Technologies Corp","Common stocks","Large cap","Information Technology","$13,171,277,768","0.00%","USA","Analyze"
"SIVB","SVB Financial Group","Common stocks","Large cap","Financials","$13,157,760,085","0.00%","USA","Analyze"
"MTCH","Match Group Inc","Common stocks","Large cap","Communication Services","$13,135,766,165","0.00%","USA","Analyze"
"CBOE","Cboe Global Markets, Inc.","Common stocks","Large cap","Financials","$13,123,425,869","1.56%","USA","Analyze"
"PEAK","Healthpeak Properties, Inc.","REITs","Large cap","Real Estate","$13,115,979,514","4.83%","USA","Analyze"
"NDSN","Nordson Corp","Common stocks","Large cap","Industrials","$13,108,686,774","0.95%","USA","Analyze"
"RS","Reliance Steel & Aluminum","Common stocks","Large cap","Materials","$13,089,803,284","1.69%","USA","Analyze"
"DINO","HF Sinclair Corporation","Common stocks","Large cap","Energy","$13,083,616,336","1.22%","USA","Analyze"
"FHN","First Horizon National Corp","Common stocks","Large cap","Financials","$13,081,908,655","2.44%","USA","Analyze"
"BEN","Franklin Resources Inc","Common stocks","Large cap","Financials","$13,053,465,669","4.36%","USA","Analyze"
"TECH","Bio-Techne Corp","Common stocks","Large cap","Health Care","$13,015,521,501","0.39%","USA","Analyze"
"SSNC","SS&C Technologies Holdings, Inc.","Common stocks","Large cap","Information Technology","$13,008,674,538","1.54%","USA","Analyze"
"DPZ","Dominos Pizza Inc","Common stocks","Large cap","Consumer Discretionary","$12,982,014,261","1.15%","USA","Analyze"
"LBRDA","Liberty Broadband Corp Series A","Common stocks","Large cap","Communication Services","$12,878,368,818","0.00%","USA","Analyze"
"LBRDK","Liberty Broadband Corp Series C","Common stocks","Large cap","Communication Services","$12,878,368,818","0.00%","USA","Analyze"
"UDR","UDR, Inc","REITs","Large cap","Real Estate","$12,842,623,221","3.76%","USA","Analyze"
"HST","Host Hotels & Resorts, Inc","REITs","Large cap","Real Estate","$12,777,546,089","1.17%","USA","Analyze"
"RPM","RPM International Inc","Common stocks","Large cap","Materials","$12,769,174,573","1.63%","USA","Analyze"
"CSL","Carlisle Companies Inc","Common stocks","Large cap","Industrials","$12,760,397,204","1.04%","USA","Analyze"
"IPG","Interpublic Group Of Companies Inc","Common stocks","Large cap","Communication Services","$12,747,495,998","3.43%","USA","Analyze"
"SPLK","Splunk Inc","Common stocks","Large cap","Information Technology","$12,731,275,000","0.00%","USA","Analyze"
"IP","International Paper","Common stocks","Large cap","Materials","$12,711,646,122","5.09%","USA","Analyze"
